title,description
Deadpool: Last Days of Magic (2016) #1,"From the pages of Doctor Strange...the Empirikul are waging a war on magic with the goal of wiping the fantastical from the pages of existence. This concerns Deadpool, because some of his best friends are magic. As the Empirikul forces batter the defenses of the Monster Metropolis ruled by his demonic wife, Deadpool wades into battle alongside his most spell-casting-est friends. And you know the old saying “Nothing ever goes wrong in a war.” That’s a saying, right?"
Doctor Strange (2015) #7,"As all of his magic dissipates, Doctor Strange is at the mercy of THE IMPERATOR! The powerless sorcerer is no longer supreme and can’t possibly best a super-powered foe hell-bent on his destruction."
Doctor Strange (2015) #7,"As all of his magic dissipates, Doctor Strange is at the mercy of THE IMPERATOR! The powerless sorcerer is no longer supreme and can’t possibly best a super-powered foe hell-bent on his destruction."
Doctor Strange (2015) #8,All of Doctor Strange’s magic has been destroyed and our world is on the edge of disaster. What on Earth can Stephen do?
Doctor Strange (2015) #9,"“THE LAST DAYS OF MAGIC” continues! Stripped of all of his magic, Stephen Strange scours the globe for any weapon he can use against the Empirikul.\n"
Drax (2015) #6,"“THE CHILDREN’S CRUSADE” STARTS NOW! Annihilus. Ultron. Fin Fang Foom. They were all pieces of cake. Now, Drax prepares to take on the toughest challenge of his life... a gaggle of (partially traumatized) alien children who need to get back to their home planets. Don’t worry! Drax will find other stuff to destroy. Like maybe…nap times? Homework? Poo poo diapies?"
Drax (2015) #7,"Drax’s adventures in babysitting continue! To get worse! It’s bad enough Drax has to take these tots to monster-infested, poisoned-aired planets (we assume)—what if he starts CARING about them?!? Your blood will BOIL with the thrill of battle! Your heart will be WARMED by unlikely friendships!\n"
Drax (2015) #7,"Drax’s adventures in babysitting continue! To get worse! It’s bad enough Drax has to take these tots to monster-infested, poisoned-aired planets (we assume)—what if he starts CARING about them?!? Your blood will BOIL with the thrill of battle! Your heart will be WARMED by unlikely friendships!\n"
Drax (2015) #8,"Drax’s mission to return all of the Fin Fang Foom refugee children continues to go well. Except, you know, for all the bounty hunters after him. Ironically, one of the bounty hunters is CAMMI, another child Drax was tricked into caring about. Will she lead him to the person who put the hit out on Drax? Who are those other bounty hunters she’s with? Oh, only PIP THE TROLL and…PLANET TERRY???\n"
Empress (2016) #1,"Imagine you're married to the worst bad guy from your favorite sci-fi movie. An alien dictator feared throughout the universe, who will kill you if you leave- but you need to escape for the sake of your three children. All you have are your wits, your bodyguard, and three guns. Welcome to EMPRESS, your new favorite comic."
Empress (2016) #2,"Queen Emporia is on the run from her husband, along with her kids and bodyguard. Now all they have to do is get across the galaxy while the world’s most ruthless dictator has all his forces in hot pursuit. Easy, right? A plea for help on an alien stopover world plus a broken transporter could end their adventure before it’s begun! The stakes get even higher in the latest from superstar creators Millar and Immonen!"
Empress (2016) #3,Emporia and her children are racing across the galaxy with vengeful dictator Morax hot on\ntheir tails. Morax has a new fleet of security who’ll stop at nothing to get the boss’ kids back.\nBattling intergalactic beasts at every turn as they teleport between alien war zones and\ndead worlds - will Emporia and the gang escape this time?
Empress (2016) #3,Emporia and her children are racing across the galaxy with vengeful dictator Morax hot on\ntheir tails. Morax has a new fleet of security who’ll stop at nothing to get the boss’ kids back.\nBattling intergalactic beasts at every turn as they teleport between alien war zones and\ndead worlds - will Emporia and the gang escape this time?
Extraordinary X-Men (2015) #10,"“APOCALYPSE WARS” continues here in “OMEGA WORLD”: Part 3! Trapped a thousand years in the future, the X-Men are literally mutantkind’s last hope! Not only has Apocalypse deemed the mutant race obselete, but he’s also claimed one of the X-Men as his newest Horseman. Can the X-Men survive a trip across the perilous landscape of Omega World to restore mutantkind’s future and rescue their teammate?\n"
Extraordinary X-Men (2015) #11,"“APOCALYPSE WARS” CONTINUES IN “OMEGA WORLD” PART 4! Trapped one thousand years in the future on a world ruled by the genocidal tyrant Apocalypse, the X-Men are literally mutantkind’s last hope! But in fighting Apocalypse’s newest horsemen, the X-Men’s future is slipping away from them...especially when one of those horsemen is a Wolverine with a Venom symbiote!\n"
Extraordinary X-Men (2015) #9,"“APOCALYPSE WARS” PART TWO! Trapped in the distant future, Colossus and his team of Young X-Men race across a dying Earth to protect the key to mutantkind’s survival! But Apocalypse and his new horsemen are in hot pursuit, eager to take it from them. Will the Extraordinary X-Men arrive in time to save the future of their species AND their friends?"
Extraordinary X-Men (2015) #9,"“APOCALYPSE WARS” PART TWO! Trapped in the distant future, Colossus and his team of Young X-Men race across a dying Earth to protect the key to mutantkind’s survival! But Apocalypse and his new horsemen are in hot pursuit, eager to take it from them. Will the Extraordinary X-Men arrive in time to save the future of their species AND their friends?"
Guardians of Infinity (2015) #5,"Hermetikus’s evil ambitions are tremendous—you could say they’re GALACTIC in scale! Does this villain hold a strange connection to the Guardians 1000? Even though Rocket, Drax and Groot have joined a GUARDIANS SUPERGROUP, they might be in over their heads! Plus! Writer JEFF KING (White Collar) and artist FLAVIANO ARMENTERO show you what happens when Rocket and Kitty act as bodyguards for an interplanetary whistleblower!"
Guardians of Infinity (2015) #6,"ONE GUARDIAN, INFINITE TROUBLE Newcomer god Hermetikus has captured all the Guardians, possibly to turn them into unwilling brain donors! Just one hero manages to slip away: Nikki Gold must find her way through the Structure, with nothing but her wits and her guns. AND ERIC PALICKI (writer FAKE EMPIRE, ORPHANS) and artist PAOLO VILLANELLI (G.I. JOE, CLIVE BARKER’S HELLRAISER) team up Kitty Pryde and Gamora to figure out if there’s more than ONE Most Dangerous Woman in the Universe!"
Guardians of Infinity (2015) #7,"God of the Newcomers HERMETIKUS was there at the inception of the GUARDIANS OF THE GALAXY…\nand if he has his way, he’ll be there at the END! And writer ROBBIE THOMPSON (VENOM: SPACE KNIGHT, SILK, SPIDEY) reveals more about the noble, mysterious SPACE KNIGHTS!\n"
Guardians of the Galaxy (2015) #8,VENOM AND GROOT VERSUS: SKRULLS! Venom and Groot get in WAY over their heads fighting against SKRULLS! Last time this writer wrote those aliens it changed the Marvel Universe. This time he’s thinking even bigger!
Guardians of the Galaxy (2015) #9,GAMORA AND DRAX FIGHT A MONSTER OF THE BADOON! The two most deadly people in the galaxy together again! Drax and Gamora go on a side mission involving the Badoon that’s going to put their skills to the test like never before. But the Badoon aren’t just playing the same old game and these Guardians are going to have to learn the rules really quickly.\n
Guardians of The Galaxy: New Guard Vol. 1 - Emperor Quill (Hardcover),"Peter Quill has abandoned the Guardians and his role as Star-Lord to be Emperor of the Spartax. Rocket didn't wait a single minute to take the reins and become team leader of Drax, Venom, Groot, Kitty Pryde (A.K.A. Star-Lady?!?!) and new Guardian BEN GRIMM, the ever-lovin' THING! COLLECTING: GUARDIANS OF THE GALAXY (2015) #1-5.\n"
GUIDEBOOK TO THE MARVEL CINEMATIC UNIVERSE — MARVEL’S IRON MAN 3/MARVEL’S THOR: THE DARK WORLD (2015) #6,"The MCU Guidebooks launch into Phase 2 of the Cinematic Universe, and Avengers mainstays Iron Man and Thor lead the charge as our comprehensive coverage of the fan-favorite Marvel Studios films and Marvel Television shows continues! Featuring fact sheets, movie-to-comic comparisons and production stills, this issue is packed with profiles and updates on heroes including Iron Man, Thor, Iron Patriot, Sif, Odin and the Warriors Three; stalwart allies including Pepper Potts, Happy Hogan, Jane Foster, Erik Selvig and Darcy Lewis; and deadly foes including the Mandarin, Aldrich Killian, A.I.M., Loki and Malekith! Plus: Extremis! The Aether! President Ellis! Frigga! Bor! Heimdall! The Collector! And more! Relive the big-screen thrills of Marvel’s Iron Man 3 and Thor: The Dark World right here, and continue building your indispensable library of Cinematic Universe reference books!"
GUIDEBOOK TO THE MARVEL CINEMATIC UNIVERSE — MARVEL’S IRON MAN 3/MARVEL’S THOR: THE DARK WORLD (2015) #6,"The MCU Guidebooks launch into Phase 2 of the Cinematic Universe, and Avengers mainstays Iron Man and Thor lead the charge as our comprehensive coverage of the fan-favorite Marvel Studios films and Marvel Television shows continues! Featuring fact sheets, movie-to-comic comparisons and production stills, this issue is packed with profiles and updates on heroes including Iron Man, Thor, Iron Patriot, Sif, Odin and the Warriors Three; stalwart allies including Pepper Potts, Happy Hogan, Jane Foster, Erik Selvig and Darcy Lewis; and deadly foes including the Mandarin, Aldrich Killian, A.I.M., Loki and Malekith! Plus: Extremis! The Aether! President Ellis! Frigga! Bor! Heimdall! The Collector! And more! Relive the big-screen thrills of Marvel’s Iron Man 3 and Thor: The Dark World right here, and continue building your indispensable library of Cinematic Universe reference books!"
Gwenpool (2016) #1,"2015’s overnight internet sensation takes center stage in her own ongoing series! Gwen Poole used to be a comic book reader just like you...until she woke up in a world where the characters she read about seemed to be real! But they can’t be, right? This must all be fake, or a dream or something, right? And you know what that means...NO CONSEQUENCES! Could Gwenpool truly be Marvel’s least responsible and least role-modely character to date? She can if she tries!"
Gwenpool (2016) #2,Gwen finds herself unexpectedly working for a big-deal mercenary outfit...And she takes a gig pitting her head-to-head against THOR! It’s the Goddess of Thunder vs. the Oddest of Wonders!
Gwenpool (2016) #3,Gwen is somehow still alive...despite having no skills or training! If that were not trouble enough...some of her allies are starting to suspect! Being in a comic book is not as easy as it looks!\n
Haunted Mansion (2016) #2,"YOU CAN ENTER, BUT YOU CAN NEVER LEAVE…! Get ready to meet the 999 happy haunts residing in the mansion…but some of them aren’t quite so happy! Madame Leota! The Hatbox ghost! Constance the Bride! The Hitchhiking ghosts! You never know who of the legendary cast from Disney’s world-famous attraction will appear! Danny is trapped within the Haunted Mansion, but who is trying to help him, and who is using him for their own ghoulish plot? Don’t miss the next chapter in the delightfully chilling story based on the fan-favorite Disney attraction!\nElements based on Haunted Mansion © Disney"
Haunted Mansion (2016) #3,"HAPPY HAUNTS MATERIALIZE AND GRIM GRINNING GHOSTS SOCIALIZE! Amidst the singing and joyful ghouls, Constance lurks and the Captain’s evil plan materializes! Crypts creak and tombstones quake as dark forces within the mansion are unleashed! Danny’s fate hangs in the balance…but as a painful truth comes to light, is there anyone he can trust?"
Haunted Mansion (2016) #4,"THERE’S ONLY ONE WAY OUT – PAST HER! The Captain’s power is growing—and Danny’s enemies are closing in! There’s only one chance for Danny to get out of the mansion now, but he’ll need to make his way through the attic…where Constance the Bride is at her most deadly\n"
Howard the Duck (2015) #6,"THE CONCLUSION OF “ANIMAL HOUSE,” A CROSSOVER WITH THE UNBEATABLE SQUIRREL GIRL! WATCH! Howard show Squirrel Girl how to be a REAL hero for a change, for which she is eternally grateful! LEARN! what happened in last month’s UNBEATABLE SQUIRREL GIRL #6 from the recap page! LISTEN! to a nice audio file of nature sounds made by Chip & Ryan while you read this VERY good story! LOVE! all the guest stars! Like one of the blue guys from X-MEN! And a pretty cool van!"
Howard the Duck (2015) #6,"THE CONCLUSION OF “ANIMAL HOUSE,” A CROSSOVER WITH THE UNBEATABLE SQUIRREL GIRL! WATCH! Howard show Squirrel Girl how to be a REAL hero for a change, for which she is eternally grateful! LEARN! what happened in last month’s UNBEATABLE SQUIRREL GIRL #6 from the recap page! LISTEN! to a nice audio file of nature sounds made by Chip & Ryan while you read this VERY good story! LOVE! all the guest stars! Like one of the blue guys from X-MEN! And a pretty cool van!"
Howard the Duck (2015) #7,"When a case takes Howard and Tara to the SAVAGE LAND, they need all the help they can get! But instead, they make do with SPIDER-MAN, SHE-HULK, DAREDEVIL and STEVE ROGERS! Join Chip and special guest artist KEVIN MAGUIRE (!!!!) for an issue we like to call “Howard the Duck Volume Six, Issue Seven!”"
Howard the Duck (2015) #8,"“HOME” STARTS NOW! Howard finally goes home, but is there such a thing for him anymore?"
Hyperion (2016) #3,"HYPERION can punch his way out of anything, but how will he deal with a serial murderer who can turn into a squirming horde of killer worms? He and Doll followed the trail, and now must contend with Worm-Boy and the fact that this monster is somehow connected to the carnival Doll is running away from. Plus, just who is Micah Hardiaken and what does he want with her? Time to pay a visit to the carnival to find out...\n"
Hyperion (2016) #4,"Flip the switches and light the lights — the carnival is open for business. HYPERION and Doll have a final showdown with the freaks and weirdos of the dark carnival of Valentine County, but the real danger is what lurks inside the haunted house. Something awaits within those twisted walls. Something that wants very badly to be free."
Illuminati (2015) #7,"AVENGERS: STAND-OFF AFTERMATH! It’s recruitment day! The villains of the Marvel Universe are pissed off after the events of Stand-Off, so naturally the Hood sees a perfect opportunity to enlist them into the Illuminati. But what he has planned next could sicken even the most hardened of criminals... But will Titania continue working with The Hood or focus on saving her marriage to Absorbing Man?"
International Iron Man (2016) #2,The mystery of Tony’s real parents reveals some truths behind the history of the Marvel Universe that have been kept hidden for decades. Can Tony unravel the mystery before deadly history repeats itself?
International Iron Man (2016) #3,As Tony’s troubled past comes to the present new villains and allies are introduced. And Tony inches ever closer to finding out the identity of his birth parents. A Civil War II prologue story. From the creative team that brought you Daredevil’s darkest chapter.
International Iron Man (2016) #4,"Tony’s past and present clash as a new international crime boss beats Tony at every turn. Will Iron Man be able to get out of this alive? Will he discover who his real parents are? -- And if he does, will his new standing in the Marvel Universe be the death of him?"
Invincible Iron Man (2015) #10,"It is Tony against some of his closest and dearest friends as the portents of civil war rock Tony and his status quo to its very foundation. We can’t tell you anything else without spoiling Civil War II, but you will NOT want to miss this emotional and explosive chapter."
Invincible Iron Man (2015) #9,Tony and Rhodey are best friends on and off the battlefield but their friendship is tested in ways it never was before as the new power players in the Marvel Universe reveal themselves in a bloody and dangerous fashion that threatens everything they stand for. A Civil War II prologue story!
Invincible Iron Man (2015) #9,Tony and Rhodey are best friends on and off the battlefield but their friendship is tested in ways it never was before as the new power players in the Marvel Universe reveal themselves in a bloody and dangerous fashion that threatens everything they stand for. A Civil War II prologue story!
Invincible Iron Man Vol. 1: Reboot (Hardcover),"Exploding out of the pages of SECRET WARS, one of the most popular super heroes in the world gets a gigantic new collection. From the creators that brought you ULTIMATE SPIDER-MAN comes new armor, new supporting cast, new villains and a new purpose that is going to tear itself across the entire Marvel Universe and beyond. With a shocker of a twist that will have everyone talking and the return of one of Tony's biggest nemeses, you will not want to miss this!! Also, who are Tony's biological parents? The quest begins here! Collecting: Invincible Iron Man (2015) #1-5."
Karnak (2015) #3,"Just when you thought Karnak couldn’t get more intense and insane, it does. The trail left by the kidnapped Inhuman gets nuclear and Karnak is caught in the mushroom cloud."
Lorna the Jungle Girl (1954) #6,null
MARVEL AVENGERS ALLIANCE (2016) #4,The battle for Earth reaches a critical stage as a powerful new threat emerges in the epic conclusion to our 4-part series bridging the story between the smash hit mobile game <i>Marvel: Avengers Alliance</i> and the upcoming <i>Marvel: Avengers Alliance 2</i>!
Marvel Universe Avengers Assemble: Civil War (2016) #2,SECRETS THREATEN TO DESTROY THE AVENGERS! Find out the secret Iron Man has kept from the team…and how it will change the Avengers’ future! Captain America takes a stand against Iron Man! It’s time: whose side are you on?
Marvel Universe Avengers Assemble: Civil War (2016) #2,SECRETS THREATEN TO DESTROY THE AVENGERS! Find out the secret Iron Man has kept from the team…and how it will change the Avengers’ future! Captain America takes a stand against Iron Man! It’s time: whose side are you on?
Marvel Universe Avengers Assemble: Civil War (2016) #3,"THE AVENGERS SPLIT IN TWO! With only half of the team on his side, and Avengers Tower wiped out by his new creation, Iron Man seeks help from an ally — only to land them in deeper danger! Meanwhile, Captain America and his half of the team discover S.H.I.E.L.D. isn’t everything they thought it was…Will the two teams unite in time to save the day?"
Marvel Universe Avengers Assemble: Civil War (2016) #4,UNITED THEY STAND! The divided Avengers will need to reunite to save the world from ultimate destruction! But can Captain America and Iron Man put aside their differences before Ultron can make his final move?The grand finale to our 4-part epic!\n
Marvel Universe Avengers Infinite Comic (2016) #7,"With his father’s good name tarnished by a murder accusation, Iron Man heads out west to catch up with Ant-Man! His goal?  To find out what REALLY happened to his father in 1940s Hollywood! To find the truth, Iron Man and Ant-Man have to break into an old movie studio that’s run by the dangerous SILVERMANE!"
Marvel Universe Guardians of the Galaxy (2015) #7,BETRAYAL! Will the Guardians’ survive a betrayal by one of their own…or is this the end of the team?! If you can’t trust your friends…can you still turn to FAMILY?!
Marvel Universe Guardians of the Galaxy (2015) #8,"WE ARE GROOT! Groot’s picked up something in space…it’s not contagious, but it’s grown a bit ATTACHED to him! The team will go to great lengths to help free their friend…but is Rocket powerful enough to combat a VENOM SYMBIOTE when the rest of the Guardians fall?!\n"
Marvel Universe Guardians of the Galaxy (2015) #8,"WE ARE GROOT! Groot’s picked up something in space…it’s not contagious, but it’s grown a bit ATTACHED to him! The team will go to great lengths to help free their friend…but is Rocket powerful enough to combat a VENOM SYMBIOTE when the rest of the Guardians fall?!\n"
Marvel Universe Ultimate Spider-Man: Contest of Champions (2016) #3,"NEW ALLIES…NEW ENEMIES! VENOM and IRON SPIDER return…but not quite how you expect! When ANNIHILUS, TERRAX and ATTUMA join the Grandmaster’s team…the Collector makes a “mighty” addition to his roster! The battle is heating up — don’t miss a moment!\n"
Marvel Universe Ultimate Spider-Man: Spider-Verse (Digest),"SPIDER-VERSE! The Goblin opens portals to alternate dimensions, forcing Spidey to team up with alternate versions of himself to fight back! COLLECTING: MARVEL UNIVERSE ULTIMATE SPIDER-MAN: SPIDER-VERSE #13-16."
Marvel Universe Ultimate Spider-Man: Spider-Verse (Digest),"SPIDER-VERSE! The Goblin opens portals to alternate dimensions, forcing Spidey to team up with alternate versions of himself to fight back! COLLECTING: MARVEL UNIVERSE ULTIMATE SPIDER-MAN: SPIDER-VERSE #13-16."
Mighty Thor (2015) #7,You wouldn’t like this Viking when he’s angry…
Mighty Thor (2015) #8,"“LORDS OF MIDGARD” STARTS NOW! Corporate espionage, Marvel-style. Some of the world’s most powerful and evil corporations are going to war over turf. With Thor caught in the middle. That’s if Jane Foster can first escape from the clutches of... S.H.I.E.L.D.?\n"
Miracleman by Gaiman & Buckingham: The Silver Age (2016) #1,"Neil Gaiman and Mark Buckingham’s unfinished storyline “The Silver Age” begins! Young Miracleman — the lost member of the Miracleman Family — is back! His last memories were of a 1963 world of joy and innocence. Now, he’s been thrust into the 21st century, where his best friends have become gods and monsters. Remastered with stunning new artwork by Mark Buckingham! Including material originally presented in MIRACLEMAN (1985) #23, plus bonus content."
Miracleman by Gaiman & Buckingham: The Silver Age (2016) #1 (Sprouse Variant),null
Miracleman by Gaiman & Buckingham: The Silver Age (2016) #2,"Miracleman has his old friend back, but Young Miracleman has never felt more alone. Where can a hero from a simpler time call home in this brave new world? The tensions building underneath Miracleman and Young Miracleman’s relationship explode in “When Titans Clash!” Remastered with stunning new artwork by Mark Buckingham! Including material originally presented in MIRACLEMAN (1985) #24, plus bonus content."
Miracleman by Gaiman & Buckingham: The Silver Age (2016) #3,"The wait is over! Neil Gaiman and Mark Buckingham present the story you’ve waited decades for — the first ALL-NEW chapter in “The Silver Age!” High atop the Himalayas, Dicky Dauntless searches to find his place in the Age of Miracles. He’ll make new friends and encounter a frightening, familiar face — Johnny Bates! It’s Young Miracleman and Kid Miracleman face-to-face!"
Mockingbird (2016) #3,"Bobbi suits up as Mockingbird to save an adolescent girl driven bonkers by her new powers. Later, a rakish Englishman asks Bobbi to dogsit."
Mockingbird (2016) #4,Guest-Starring Hawkeye! Clint Barton is about to be dissected by rogue scientists in an underwater base at the bottom of the Marianas Trench. It’s up to Bobbi to save him.\n
Moon Girl and Devil Dinosaur (2015) #6,"THE FIRST CHAPTER OF THIS UNLIKELY FRIENDSHIP COMES TO AN EPIC CONCLUSION! The KILLER FOLK have the NIGHTSTONE, the key to curing Lunella’s INHUMAN gene! DEVIL DINOSAUR is trapped in the MUSEUM OF NATURAL HISTORY! LUNELLA LAFAYETTE must decide between saving her new best friend…or saving her own humanity!"
Moon Girl and Devil Dinosaur (2015) #7,"NEW STORY STARTS NOW! What’s next for Moon Girl and Devil Dinosaur? The all new, all different, MOST AMAZING Marvel Team-Up continues...Face to face with the Terrigen Cloud that could turn her Inhuman, Lunella Lafayette’s world is about to turn upside down! Now more than ever, she’ll have to rely on smarts and keep a cool head! Meanwhile, a new boy in school has moved to town from far, far away…but why is he so interested in Lunella? Plus, the most wanted T-Rex in NYC is running out of places to lie low. Part One of “Cosmic Cooties” begins here!!!\n"
Moon Girl and Devil Dinosaur (2015) #8,"Nothing scares fearless genius LUNELLA LAFAYETTE more than change. So of course, big change is at her doorstep! How big? How about finding her mind trapped in DEVIL DINOSAUR’S body? And how does the big red T-Rex feel about being trapped in a 9-year old human girl’s body…during a test? All this and the first appearance of MOON GIRL’S new 9-year old super-powered rival: KID KREE!!!\n"
Moon Knight (2016) #2,"Marc Spector is in an asylum full of faces: haughty doctor, hostile orderlies, vacant-eyed patients. Or maybe those faces are actually just masks…If some of those masks hide friends, others may hide enemies, or worse…GODS and MONSTERS. The moon is out, the mask is on: it’s time to escape—will Marc find a city full of sand, or something truly horrifying?"
Moon Knight (2016) #2,"Marc Spector is in an asylum full of faces: haughty doctor, hostile orderlies, vacant-eyed patients. Or maybe those faces are actually just masks…If some of those masks hide friends, others may hide enemies, or worse…GODS and MONSTERS. The moon is out, the mask is on: it’s time to escape—will Marc find a city full of sand, or something truly horrifying?"
Moon Knight (2016) #3,"“LET YOUR INSANITY GUIDE YOU”. Marc Spector has escaped into the subway tunnels below the mental hospital. MOON KNIGHT has escaped into the tombs beneath the prison where he had been trapped by SETH, god of violence and disorder. Are all the timelines true, or none of them? Either way, there are monsters and mummies to punch, and a man in a white mask ready to do it.\n"
Mrs. Deadpool and the Howling Commandos (Trade Paperback),"She is Shiklah-undisputed Queen of the Monster Metropolis below Manhattan! In the world that was, she married Deadpool, the Merc with the Mouth. But nothing on Battleworld is quite as it was. Now, she commands the Howling Commandos: Werewolf by Night! Frankenstein's Monster! The Living Mummy! Man-Thing! And Marcus the Centaur! What would her late husband think of that? COLLECTING: MRS. DEADPOOL AND THE HOWLING COMMANDOS (2015)."
Mrs. Deadpool and the Howling Commandos (Trade Paperback),"She is Shiklah-undisputed Queen of the Monster Metropolis below Manhattan! In the world that was, she married Deadpool, the Merc with the Mouth. But nothing on Battleworld is quite as it was. Now, she commands the Howling Commandos: Werewolf by Night! Frankenstein's Monster! The Living Mummy! Man-Thing! And Marcus the Centaur! What would her late husband think of that? COLLECTING: MRS. DEADPOOL AND THE HOWLING COMMANDOS (2015)."
Ms. Marvel (2015) #8,"CIVIL WAR II TIE-IN! Kamala gets called to the frontlines of battle--but this isn’t a fight she can embiggen her way out of. Idols are tainted and Kamala must face the world with new eyes. It’s time to grow up, Kamala. Who will you become?\n"
Ms. Marvel Vol. 2 (Hardcover),"Kamala Khan may not be allowed to go to the school Valentine's Day dance, but Ms. Marvel will crash it - in an attempt to capture Asgard's most annoying trickster, Loki! And when a mysterious, and really cute, stranger arrives in Jersey City, Ms. Marvel must deal with...a crush! Then, it's the moment you demanded, as Ms. Marvel meets her idol: Carol Danvers and Kamala Khan battle side by side! The Marvel Universe's last days have arrived, but Ms. Marvel has no time for silly things like Armageddon - she's got to rescue her brother and keep her city from falling into chaos. COLLECTING: Ms. Marvel #12-19, S.H.I.E.L.D. #2, material from Amazing Spider-Man #7-8."
New Avengers (2015) #10,A STANDOFF tie-in! What could possibly hold its own against the American Kaiju? None other than – AVENGER FIVE! Five New Avengers in the ultimate ultra-vehicle – fighting to save A.I.M.! But are they giving up their freedom – or their lives? Plus: The traitor revealed! Sunspot’s secret schemes! And the guest-star reveal you’ve been waiting for!
New Avengers (2015) #12,"CIVIL WAR II is raging through the Marvel U -- but SOME wars are less civil than others! Roberto Da Costa’s mission -- should he choose to accept it -- is to play the ultimate secret agents at their own game... with the free world as the stakes! This is sky-high spy-fi the way you crave it, true believer! This is... A.I.M. VERSUS S.H.I.E.L.D.!\n"
New Avengers (2015) #9,A STANDOFF tie-in! Up from the depths! Thirty stories high! He salutes the flag and eats apple pie! Corporal Todd Ziller is the AMERICAN KAIJU – America’s ultimate weapon against renegade super-science! And he’s going to get the Whisperer back in custody – if he has to break Avengers Island in two!
Nighthawk (2016) #1,"Straight from the pages of SQUADRON SUPREME comes one of the most brutal super heroes of the Marvel Universe. Nighthawk is Chicago’s dark protector, dispensing swift, decisive justice to those that truly deserve it. When the city’s shadiest power brokers turn up murdered in gristly ways, the apparent work of an inventive serial killer, Nighthawk must ask himself, Does this predator deserve to be caught? Who is the killer? What is he after? What does he want from Nighthawk? To answer these questions, Nighthawk must first look in the mirror."
Nighthawk (2016) #2,"With the bodies piling up, Nighthawk hunts the psycho killer stalking the streets, leading to an unlikely alliance. Meanwhile, the racial tension that grips the city is about to explode, leading Nighthawk to make a difficult decision -- save the city, or watch it burn."
Nova (2015) #7,"SUMMER VACATION STARTS NOW! Nova’s father is still missing, and his only clue to his old man’s whereabouts blasted off into space last issue. Now, Sam is on the trail of a new mystery -- one he’ll need. THE AVENGERS help to solve! Kicks off a story that will lead into AVENGERS #10!"
Nova (2015) #8,"CIVIL WAR II TIE-IN! As an Avenger, Nova is on the front lines of Civil War II, but he may not have the same ideas as his friend and mentor Iron Man. Come to think of it, he isn’t a big fan of Captain Marvel’s stance, either … awkward.\n"
Obi-Wan and Anakin (2016) #4,"Obi-wan and Anakin are trapped on opposite sides of a war...and if they’re not careful, they’re going to get caught in the crossfire! Plus...why does Anakin want to leave the order?\n\nStar Wars © Lucasfilm Ltd. & TM. All rights reserved. Used under authorization. Text and illustrations for Star Wars are © 2015 Lucasfilm Ltd.\n"
Obi-Wan and Anakin (2016) #5,War breaks out...with our Jedi caught in the middle! Master and apprentice come to an important realization. Marvel’s first Jedi-centric miniseries draws to a dramatic close!\n
Old Man Logan (2016) #6,"Nestled in a lonely corner of the northern reaches of Canada, the quiet town of Killhorn Falls seemed like the perfect place for Old Man Logan to retreat to and make his peace with his new life in the present day Marvel Universe…and check up on someone who will one day become very near and dear to him. But unbeknownst to Logan, the murderous cyborg REAVERS were hot on his trail. Cut off from the rest of civilization, can Logan save the people of Killhorn Falls? It’s the ultimate cage match…and Logan’s future is at stake!"
Old Man Logan (2016) #7,"This is Logan at his most fundamental: back to the wall, his survival riding only on his wits, his determination and his Adamantium claws. When Lady Deathstrike and her murderous gang of Reavers follow Old Man Logan to the isolated town of Killhorn Falls, it’s up to Logan to fend off his attackers while protecting the civilians—including the girl who will one day grow up and become his wife. It’s the ultimate cage match…and EVERYTHING Old Man Logan cares about is on the line!\n"
"Patsy Walker, A.K.A. Hellcat! (2015) #7","Fun in the sun can’t last forever -- I mean, the sun’s going to explode in a couple billion years, right? With none other than Jessica Jones back in her life for the first time, nobody knows this like Patsy Walker, A.K.A. HELLCAT!"
Power Man and Iron Fist (2016) #4,"IT’S TIME TO ROLL ON ROYCE! Former Heroes for Hire office manager Jennie Royce’s resentment for LUKE and DANNY, and her power from the stolen SUPERSOUL STONE, is reaching capacity! Time for an old school BIG APPLE GRUDGE MATCH: MIGHT and RIGHT versus MISGUIDED and MAGIC! Be like New York City! DON’T SLEEP! READ THIS COMIC INSTEAD!"
Power Man and Iron Fist (2016) #5,"What’s the TRUE story of the radio DJ, Luke Cage, Iron Fist, Manslaughter Marsdale, and the hot dog vendor? There are TWO sides to every story? Luke and Danny should be so lucky! Luke is trying to control the narrative, but it’s impossible when NO ONE can get enough of POWER MAN AND IRON FIST!\n"
Red Wolf (2015) #5,"WOLF VERSUS SNAKE! Red Wolf and Deputy Ortiz have tracked RATTLER to the rock he’s been hiding under. If their surveillance turns into a smack-down, can Red survive a venomous bite from Rattler’s weapon of choice? And how long can a man out of time avoid the notice of a dimension-hopping villain who desperately wants him dead?"
Red Wolf (2015) #5,"WOLF VERSUS SNAKE! Red Wolf and Deputy Ortiz have tracked RATTLER to the rock he’s been hiding under. If their surveillance turns into a smack-down, can Red survive a venomous bite from Rattler’s weapon of choice? And how long can a man out of time avoid the notice of a dimension-hopping villain who desperately wants him dead?"
Red Wolf (2015) #6,"THE SHOCKING CONCLUSION TO MAN OUT OF TIME! The Cheyenne outsider found a place in our world, but he still needs to find his way HOME. As if RATTLER wasn’t enough of a problem, the villain who started it all, the SURVEYOR, returns! Is the otherworldly energy emanating from a cave in the wilderness the sercret to Red Wolf’s return home, or the end of everything?\n"
